Rank,Name,Title,Federation,Tournaments Played,Tournaments Counted,Total Points,Avg Points,Avg Rating,Avg Opponent Rating,Win Percentage
1,"Khoder Akram",FM,LBN,7,7,41.5,5.93,2207,1844,84.4
2,"Assaad Joe",CM,LBN,8,7,41.0,5.86,2127,1872,81.8
3,"Kaloust Giorgio",,LBN,7,7,38.0,5.43,1995,1836,77.1
4,"Arkadan Adib",CM,LBN,7,7,37.5,5.36,2267,1891,89.3
5,"Kassar Bashar",,LBN,7,7,35.5,5.07,1944,1841,72.4
6,"Hazimeh Ahmad Ali",,LBN,7,7,35.5,5.07,1874,1747,72.4
7,"Adeimi Michel",,LBN,7,7,35.0,5.00,2138,1868,76.1
8,"Najjar Ahmad",FM,LBN,8,7,35.0,5.00,2043,1775,71.4
9,"Fawaz Nadia",WCM,LBN,8,7,34.0,4.86,1874,1800,66.4
10,"Nasser Hadi",,LBN,8,7,34.0,4.86,1830,1740,67.3
11,"Akl Jad Eli",ACM,LBN,7,7,31.5,4.50,1675,1795,64.3
12,"Attieh Skye",WCM,LBN,7,7,31.5,4.50,1806,1749,63.5
13,"Saadeddine Adam",,LBN,7,7,31.5,4.50,1865,1774,65.6
14,"Moughames Ronald",,LBN,6,6,29.0,4.83,1873,1734,69.0
15,"Kazandjian Aram",AFM,LBN,8,7,28.0,4.00,1675,1722,56.3
16,"Hamadeh Sally",,LBN,8,7,26.5,3.79,1626,1748,50.9
17,"Al Asmar Remy",WCM,LBN,6,6,26.0,4.33,1790,1712,61.9
18,"Girard Sebastien",AIM,LBN,6,6,26.0,4.33,1643,1735,61.3
19,"Garabet Charbel",ACM,LBN,8,7,25.5,3.64,1635,1722,50.0
20,"Kassis Antoine",FM,LBN,5,5,25.0,5.00,2004,1824,71.4
21,"Bchara Charbel",,LBN,6,6,23.5,3.92,1643,1708,55.1
22,"Fawaz Mohamad",,LBN,5,5,22.5,4.50,1934,1778,76.8
23,"Zeitjian Sarkis",,LBN,7,7,22.5,3.21,1538,1760,44.8
24,"Atayan Michel",,LBN,6,6,22.0,3.67,1565,1759,51.2
25,"Masri Mohamad",,LBN,7,7,22.0,3.14,1529,1687,43.8
26,"Bsat Kinana",,LBN,5,5,21.0,4.20,1579,1740,58.8
27,"Dagher Habib",ACM,LBN,8,7,21.0,3.00,1464,1719,40.0
28,"Masri Ali Rida",,LBN,8,7,20.5,2.93,1417,1607,38.9
29,"Karam Mark",,LBN,5,5,19.5,3.90,1842,1717,69.6
30,"Hadad Peter",,LBN,6,6,19.5,3.25,1564,1744,45.1
31,"Salameh Celio Wissam",,LBN,5,5,18.5,3.70,1621,1703,52.9
32,"Attieh Kate",,LBN,5,5,18.0,3.60,1706,1732,51.4
33,"El Khoury Alexander",,LBN,5,5,17.5,3.50,1622,1746,50.0
34,"Darwiche Mohamad",,LBN,4,4,17.0,4.25,1698,1677,63.0
35,"El-Bittar John Fadi",,USA,4,4,16.5,4.13,1725,1792,57.4
36,"Wadih Michel",,LBN,4,4,16.5,4.13,1656,1784,57.4
37,"Seifeddine Ghazi",,LBN,5,5,16.0,3.20,1466,1699,45.5
38,"Salman Fatima",,LBN,5,5,16.0,3.20,1618,1762,45.7
39,"Ferzli Michael",,LBN,3,3,15.5,5.17,1849,1727,73.8
40,"El Khoury Elias",,LBN,4,4,15.5,3.88,1615,1698,51.9
41,"Khoury Rabih",,LBN,4,4,15.5,3.88,1679,1708,55.4
42,"Salman Jamal",,LBN,5,5,15.5,3.10,1677,1678,53.7
43,"Slim Nadim",,LBN,4,4,15.0,3.75,1831,1821,70.0
44,"Younes Youssef",,LBN,6,6,15.0,2.50,0,1575,27.8
45,"Qudsi Mohammad",,LBN,3,3,14.5,4.83,1689,1729,67.5
