Name,Title,Federation,Rating,Performance Rating,Games Played,Total Score,Score %,Expected Score %,Difference
"Eid Fadi",IM,LBN,2312,2173,14,10.5,75.0,84.8,-9.8
"Arkadan Adib",CM,LBN,2264,2248,35,30.5,87.1,84.6,2.6
"Khoder Akram",FM,LBN,2198,2180,34,28.5,83.8,82.4,1.4
"Boulos Carlos",CM,LBN,2187,1914,7,4.0,57.1,83.3,-26.1
"Adeimi Michel",,LBN,2131,2129,35,26.5,75.7,75.0,0.8
"Assaad Joe",CM,LBN,2101,2229,41,35.0,85.4,73.3,12.1
"Khairallah Faisal",FM,LBN,2069,2084,7,5.0,71.4,71.0,0.5
"Najjar Ahmad",FM,LBN,2047,1912,34,22.5,66.2,80.0,-13.8
"Kassis Antoine",FM,LBN,2002,2041,28,20.0,71.4,69.3,2.1
"Sursock Sameer",FM,LBN,1992,2309,7,6.0,85.7,53.2,32.5
"El Khoury Brayan",,LBN,1980,2006,6,4.0,66.7,65.7,1.0
"Kaloust Giorgio",,LBN,1975,2096,34,26.5,77.9,67.1,10.9
"Van Der Knijff Kees",,NED,1970,1808,14,8.0,57.1,73.8,-16.6
"El Mahmoud Abdulaziz",CM,LBN,1966,1759,6,2.5,41.7,63.2,-21.5
"Fawaz Mohamad",,LBN,1931,2016,19,14.0,73.7,66.4,7.3
"Kassar Bashar",,LBN,1928,2093,34,26.0,76.5,61.2,15.2
"Tarabay Hady",,LBN,1907,1926,12,8.5,70.8,72.6,-1.7
"Hanna Elie",,LBN,1887,1824,7,4.0,57.1,68.0,-10.9
"Moudallal Tarek",,LBN,1867,1907,7,5.0,71.4,71.2,0.2
"Sharbel Marwan",,LBN,1866,1741,6,3.0,50.0,67.5,-17.5
"Fawaz Nadia",WCM,LBN,1862,1909,37,22.5,60.8,58.1,2.7
"Hazimeh Ahmad Ali",,LBN,1855,1974,32,23.5,73.4,63.4,10.1
"Karam Mark",,LBN,1854,1831,13,8.5,65.4,70.8,-5.4
"Saadeddine Adam",,LBN,1852,1914,39,26.0,66.7,62.6,4.1
"Ferzli Michael",,LBN,1849,1952,20,14.5,72.5,65.7,6.8
"Moughames Ronald",,LBN,1849,1914,27,19.0,70.4,66.5,3.9
"Al Zarif Hassan",,LBN,1841,1856,7,4.0,57.1,16.7,40.5
"Habash Mohamad",,LBN,1825,2018,6,4.0,66.7,48.7,17.9
"Haidar Wassim",,LBN,1822,2031,6,5.0,83.3,66.5,16.8
"Nasser Hadi",,LBN,1818,1876,37,24.5,66.2,63.5,2.7
"Saad Tarek",,LBN,1818,1736,6,3.0,50.0,59.8,-9.8
"Ousama Khaled Lakki",,PLE,1816,1761,7,4.0,57.1,66.4,-9.2
"Slim Nadim",,LBN,1816,2022,12,9.0,75.0,54.4,20.6
"Wehbi Issa",,LBN,1814,1707,7,4.0,57.1,71.4,-14.3
"Sarhan Wahid",,SYR,1809,1785,12,7.5,62.5,67.0,-4.5
"Rammal Ayman",,LBN,1806,1426,6,2.0,33.3,76.1,-42.8
"Attieh Skye",WCM,LBN,1803,1830,30,18.0,60.0,59.9,0.1
"Al Asmar Remy",WCM,LBN,1790,1812,35,21.0,60.0,59.4,0.6
"Iskandarian Edward",,LBN,1789,1826,18,10.5,58.3,55.6,2.7
"Issa Ahmad",,LBN,1776,1844,7,4.5,64.3,60.5,3.8
"El Rahi Adrian",,LBN,1774,1709,5,2.0,40.0,45.1,-5.1
"Mrad Charif",,LBN,1773,1779,13,8.0,61.5,66.0,-4.5
"Ghossoub Anthony",,LBN,1759,1804,13,8.0,61.5,41.9,19.6
"Mardikian Antranik Marc",,LBN,1750,1767,17,9.5,55.9,59.0,-3.2
"Hamoushi Mohamad Ali",,LBN,1741,1765,6,4.0,66.7,68.4,-1.7
"Matta Dany",,LBN,1740,1621,6,3.0,50.0,65.3,-15.3
"Safi Michel",,LBN,1730,1677,19,10.0,52.6,59.9,-7.3
"El-Bittar John Fadi",,USA,1725,1745,21,9.5,45.2,44.2,1.0
"Moarbes Charbel",,LBN,1723,1690,6,3.0,50.0,58.5,-8.5
"Hamad Ismael",,LBN,1721,1685,6,3.5,58.3,65.7,-7.4
"Abou Taam Fatima",,LBN,1717,1744,13,7.0,53.8,54.3,-0.4
"Abi Azar Jean",,LBN,1717,1629,6,3.0,50.0,62.6,-12.6
"Al Hayek Ahmad",,LBN,1716,1724,7,4.0,57.1,60.3,-3.2
"Chaaban Mazen",,LBN,1714,1299,3,0.0,0.0,46.4,-46.4
"Attieh Kate",,LBN,1711,1680,23,10.5,45.7,51.9,-6.2
"Shmoury Abdelrahim",,LBN,1707,1635,7,4.0,57.1,69.1,-12.0
"Ramadan Wissam",,LBN,1702,1551,11,4.5,40.9,58.2,-17.3
"Mokdad Mohamad",,LBN,1701,1538,6,2.5,41.7,61.1,-19.4
"Mounayar Maroun",,LBN,1693,1654,19,9.5,50.0,55.7,-5.7
"Salem Ralph",,LBN,1692,1634,19,9.0,47.4,55.8,-8.4
"Qudsi Mohammad",,LBN,1689,1868,18,11.5,63.9,47.5,16.4
"Darwiche Mohamad",,LBN,1689,1760,17,10.5,61.8,58.0,3.8
"Khoury Rabih",,LBN,1685,1658,11,6.0,54.5,59.5,-5.0
"Moghnieh Hussein",AIM,LBN,1673,1861,6,3.0,50.0,31.2,18.8
"Salman Jamal",,LBN,1672,1645,16,8.0,50.0,54.1,-4.1
"Arkadan Adam",,LBN,1668,1643,6,3.0,50.0,53.8,-3.8
"Nasser Youssef",,LBN,1665,1670,5,2.0,40.0,36.2,3.8
"Kazandjian Aram",AFM,LBN,1664,1767,33,18.0,54.5,44.5,10.0
"Wadih Michel",,LBN,1656,1784,21,10.5,50.0,36.8,13.2
"Kalfayan Garo",,LBN,1654,1703,4,2.0,50.0,43.8,6.2
"Younes Mohamad Hussein",,LBN,1654,1691,10,5.0,50.0,45.2,4.8
"Abi Nader Charles",,LBN,1653,1496,6,2.0,33.3,51.6,-18.3
"Garabet Charbel",ACM,LBN,1649,1603,30,12.0,40.0,46.7,-6.7
"Mardikian Antranik Mardig",,LBN,1649,1782,10,4.5,45.0,30.3,14.7
"Baydoun Rayan",,LBN,1649,1758,6,4.0,66.7,57.4,9.3
"El Khatib Ali .M",,LBN,1647,1597,3,1.0,33.3,35.9,-2.6
"Khawli Nicolas",,LBN,1646,1426,5,1.5,30.0,59.9,-29.9
"Girard Sebastien",AIM,LBN,1643,1754,27,14.0,51.9,41.2,10.7
"Totonji Kamal",,LBN,1641,1550,11,5.0,45.5,58.7,-13.3
"Jaber Mohammad Khalil",,LBN,1640,1296,5,0.5,10.0,43.4,-33.4
"Saad Tarek Moustapha",,LBN,1636,1820,15,8.5,56.7,37.5,19.1
"El Khoury Antonio",,LBN,1635,1743,16,8.5,53.1,41.2,11.9
"Wehbe Roy",,LBN,1635,1684,6,3.0,50.0,44.6,5.4
"Zrour Hanna",,LBN,1634,1616,18,7.0,38.9,40.8,-1.9
"Bchara Charbel",,LBN,1632,1592,24,10.0,41.7,47.0,-5.3
"Salman Fatima",,LBN,1631,1632,20,7.5,37.5,37.5,0.0
"Akl Jad Eli",ACM,LBN,1630,1835,29,15.5,53.4,30.3,23.2
"Bedrosian Danielle",,LBN,1630,1395,5,1.0,20.0,41.8,-21.8
"Fayad Steven",,LBN,1625,1448,9,2.5,27.8,45.9,-18.1
